page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR,COUNT OF YEAR,YEARS ACTIVE,APPEARANCES PER YEAR,UNIVERSE
61868,Sizematic,\/wiki\/Sizematic_(New_Earth),Secret Identity,Bad Characters,Black Eyes,,Male Characters,,Living Characters,3,"1977, April",1977,52,37,0.081081081,DC
15922,Gemini (Android),\/Gemini_(Android)_(Earth-616),Secret Identity,Bad Characters,,Red Hair,Female Characters,,Living Characters,3,Jul-77,1977,173,37,0.081081081,Marvel
119571,Bobby Sue Hollis,\/Bobby_Sue_Hollis_(Earth-616),Public Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,3,Dec-77,1977,173,37,0.081081081,Marvel
505384,Tod Radcliffe,\/Tod_Radcliffe_(Earth-616),Public Identity,Bad Characters,,Red Hair,Male Characters,,Deceased Characters,3,Feb-77,1977,173,37,0.081081081,Marvel
41991,Jason Dean,\/Jason_Dean_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,3,Aug-77,1977,173,37,0.081081081,Marvel
708714,Biljo White,\/Biljo_White_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,3,Jun-77,1977,173,37,0.081081081,Marvel
388409,Michael Armstrong,\/Michael_Armstrong_(Earth-616),Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,3,Jul-77,1977,173,37,0.081081081,Marvel
247341,Oliver Broadhurst,\/Oliver_Broadhurst_(Earth-616),Public Identity,Good Characters,,Bald,Male Characters,,Living Characters,3,Jul-77,1977,173,37,0.081081081,Marvel
71137,Aaron Stankey,\/Aaron_Stankey_(Earth-616),Public Identity,Neutral Characters,,,Male Characters,,Living Characters,3,Sep-77,1977,173,37,0.081081081,Marvel
61870,Flamesplasher,\/wiki\/Flamesplasher_(New_Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,2,"1977, April",1977,52,37,0.054054054,DC
707020,Margay Sorenson,\/Margay_Sorenson_(Earth-616),Public Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,2,Jul-77,1977,173,37,0.054054054,Marvel
346062,Man-Fish,\/Man-Fish_(Earth-616),Secret Identity,Bad Characters,Red Eyes,No Hair,Male Characters,,Living Characters,2,Apr-77,1977,173,37,0.054054054,Marvel
123794,Nicodemus (Sorcerer),\/Nicodemus_(Sorcerer)_(Earth-616),Secret Identity,Bad Characters,,Red Hair,Male Characters,,Living Characters,2,Nov-77,1977,173,37,0.054054054,Marvel
83337,Stephen Weems,\/Stephen_Weems_(Earth-616),Secret Identity,Bad Characters,,Blond Hair,Male Characters,,Living Characters,2,Apr-77,1977,173,37,0.054054054,Marvel
579036,Thomas Ewing,\/Thomas_Ewing_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,2,Jun-77,1977,173,37,0.054054054,Marvel
752158,Prince Philip,\/Prince_Philip_(Earth-616),Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,2,Jun-77,1977,173,37,0.054054054,Marvel
61866,Darklight,\/wiki\/Darklight_(New_Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Female Characters,,Living Characters,1,"1977, April",1977,52,37,0.027027027,DC
727249,Harmony Killdragon,\/Harmony_Killdragon_(Earth-616),Public Identity,Bad Characters,,Black Hair,Female Characters,,Living Characters,1,Jan-77,1977,173,37,0.027027027,Marvel
535899,Mary Jo Duffy,\/Mary_Jo_Duffy_(Earth-616),Public Identity,Neutral Characters,,Blond Hair,Female Characters,,Living Characters,1,Oct-77,1977,173,37,0.027027027,Marvel
707015,David Sorenson,\/David_Sorenson_(Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,1,Aug-77,1977,173,37,0.027027027,Marvel
663867,Ignatz Goldman,\/Ignatz_Goldman_(Earth-616),Public Identity,Bad Characters,,White Hair,Male Characters,,Living Characters,1,Feb-77,1977,173,37,0.027027027,Marvel
726714,Jerry Moulinski,\/Jerry_Moulinski_(Earth-616),Public Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,1,Apr-77,1977,173,37,0.027027027,Marvel
281217,Marion Martinet,\/Marion_Martinet_(Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,1,Nov-77,1977,173,37,0.027027027,Marvel
2462,Thraxton,\/Thraxton_(Earth-616),Public Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,1,Nov-77,1977,173,37,0.027027027,Marvel
281214,Mercenary (Human Fly Foe),\/Mercenary_(Human_Fly_Foe)_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,1,Sep-77,1977,173,37,0.027027027,Marvel
19327,Smasher (Second Daredevil Foe),\/Smasher_(Second_Daredevil_Foe)_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,1,Nov-77,1977,173,37,0.027027027,Marvel
168390,Stryke,\/Stryke_(Earth-616),Secret Identity,Bad Characters,Black Eyes,Bald,Male Characters,,Living Characters,1,Aug-77,1977,173,37,0.027027027,Marvel
627410,Cyrus Vance,\/Cyrus_Vance_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,1,Nov-77,1977,173,37,0.027027027,Marvel
78607,Gideon Smith,\/Gideon_Smith_(Earth-616),Secret Identity,Good Characters,,,Male Characters,,Living Characters,1,Jun-77,1977,173,37,0.027027027,Marvel
509136,Yeti (Guardian of the Gateway),\/Yeti_(Guardian_of_the_Gateway)_(Earth-616),Secret Identity,Neutral Characters,Red Eyes,White Hair,Male Characters,,Living Characters,1,Sep-77,1977,173,37,0.027027027,Marvel
23652,Ronald Raymond,\/wiki\/Ronald_Raymond_(New_Earth),Secret Identity,Good Characters,Blue Eyes,,Male Characters,,Living Characters,386,"1978, March",1978,60,36,10.72222222,DC
55878,Raven Darkholme,\/Raven_Darkholme_(Earth-616),Secret Identity,Bad Characters,Yellow Eyes,Red Hair,Female Characters,Bisexual Characters,Living Characters,371,Apr-78,1978,92,36,10.30555556,Marvel
1161,Ben Urich,\/Ben_Urich_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,324,Jul-78,1978,92,36,9,Marvel
6633,Wendell Vaughn,\/Wendell_Vaughn_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,290,Jan-78,1978,92,36,8.055555556,Marvel
1756,James Hudson,\/James_Hudson_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,161,Feb-78,1978,92,36,4.472222222,Marvel
13261,Martin Stein,\/wiki\/Martin_Stein_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Grey Hair,Male Characters,,Deceased Characters,138,"1978, March",1978,60,36,3.833333333,DC
2245,Paladin,\/Paladin_(Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,134,Jan-78,1978,92,36,3.722222222,Marvel
1791,Nimue Inwudu,\/wiki\/Nimue_Inwudu_(New_Earth),Public Identity,Good Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,121,"1978, February",1978,60,36,3.361111111,DC
1091,Arcade,\/Arcade_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,111,Jan-78,1978,92,36,3.083333333,Marvel
1924,Werner Vertigo,\/wiki\/Werner_Vertigo_(New_Earth),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,104,"1978, July",1978,60,36,2.888888889,DC
1165,Bethany Cabe,\/Bethany_Cabe_(Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,98,Dec-78,1978,92,36,2.722222222,Marvel
3068,Clifford Carmichael,\/wiki\/Clifford_Carmichael_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,61,"1978, March",1978,60,36,1.694444444,DC
19544,Rebecca Blake,\/Rebecca_Blake_(Earth-616),Public Identity,Neutral Characters,,Auburn Hair,Female Characters,,Living Characters,59,Nov-78,1978,92,36,1.638888889,Marvel
1922,Danton Black,\/wiki\/Danton_Black_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,53,"1978, March",1978,60,36,1.472222222,DC
2394,Nikolai Krylenko,\/Nikolai_Krylenko_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,53,Apr-78,1978,92,36,1.472222222,Marvel
11437,Traya Sutton,\/wiki\/Traya_Sutton_(New_Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,42,"1978, March",1978,60,36,1.166666667,DC
3899,Edward Raymond,\/wiki\/Edward_Raymond_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,42,"1978, April",1978,60,36,1.166666667,DC
28858,Araki,\/Araki_(Earth-616),Public Identity,Neutral Characters,Gold Eyes,White Hair,Female Characters,,Deceased Characters,40,Feb-78,1978,92,36,1.111111111,Marvel
30250,Miss Locke,\/Miss_Locke_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Female Characters,,Deceased Characters,39,Jan-78,1978,92,36,1.083333333,Marvel
1819,Hermod,\/Hermod_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,37,Aug-78,1978,92,36,1.027777778,Marvel
259971,Harmony Young,\/Harmony_Young_(Earth-616),Public Identity,Good Characters,,,Female Characters,,Living Characters,28,Apr-78,1978,92,36,0.777777778,Marvel
1202,Marcus Daniels,\/Marcus_Daniels_(Earth-616),Public Identity,Bad Characters,Grey Eyes,Brown Hair,Male Characters,,Living Characters,28,May-78,1978,92,36,0.777777778,Marvel
19329,Roger Norvell,\/Roger_Norvell_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,28,Jul-78,1978,92,36,0.777777778,Marvel
3817,Summer Day,\/wiki\/Summer_Day_(New_Earth),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Female Characters,,Deceased Characters,26,"1978, September",1978,60,36,0.722222222,DC
28969,Gary Cody,\/Gary_Cody_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,26,Feb-78,1978,92,36,0.722222222,Marvel
2342,SJ3RX,\/SJ3RX_(Earth-616),Secret Identity,Neutral Characters,Silver Eyes,No Hair,Male Characters,,Living Characters,26,Jan-78,1978,92,36,0.722222222,Marvel
1475,Preston Payne,\/wiki\/Preston_Payne_(New_Earth),Secret Identity,Bad Characters,Red Eyes,,Male Characters,,Deceased Characters,25,"1978, June",1978,60,36,0.694444444,DC
15711,Elysius,\/Elysius_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,25,Nov-78,1978,92,36,0.694444444,Marvel
1929,Albert Michaels,\/wiki\/Albert_Michaels_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,23,"1978, May",1978,60,36,0.638888889,DC
4786,Anton Lamont,\/wiki\/Anton_Lamont_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,22,"1978, October",1978,60,36,0.611111111,DC
2551,Sigyn,\/Sigyn_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,22,Sep-78,1978,92,36,0.611111111,Marvel
147790,Rebecca Langstrom,\/wiki\/Rebecca_Langstrom_(New_Earth),Public Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,20,"1978, May",1978,60,36,0.555555556,DC
18265,Jerry Hunt,\/Jerry_Hunt_(Earth-616),Secret Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,20,Apr-78,1978,92,36,0.555555556,Marvel
2393,Denise Baranger,\/Denise_Baranger_(Earth-616),Secret Identity,Bad Characters,Violet Eyes,Black Hair,Female Characters,,Deceased Characters,19,Jan-78,1978,92,36,0.527777778,Marvel
2213,Josef Saint,\/Josef_Saint_(Earth-616),Secret Identity,Bad Characters,,Grey Hair,Male Characters,,Deceased Characters,19,Dec-78,1978,92,36,0.527777778,Marvel
13393,Katherine Manser,\/wiki\/Katherine_Manser_(New_Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Deceased Characters,18,"1978, October",1978,60,36,0.5,DC
1826,Hoder Villison,\/Hoder_Villison_(Earth-616),Secret Identity,Good Characters,White Eyes,White Hair,Male Characters,,Living Characters,18,Aug-78,1978,92,36,0.5,Marvel
31339,Jonathan Drew,\/Jonathan_Drew_(Earth-616),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,18,Apr-78,1978,92,36,0.5,Marvel
51760,Mister Chambers,\/Mister_Chambers_(Earth-616),Secret Identity,Bad Characters,,Red Hair,Male Characters,,Living Characters,17,Jan-78,1978,92,36,0.472222222,Marvel
2668,Helmut Gruler,\/Helmut_Gruler_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,17,Dec-78,1978,92,36,0.472222222,Marvel
129217,Carina Walters,\/Carina_Walters_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,15,Jan-78,1978,92,36,0.416666667,Marvel
1223,Don Thomas,\/Don_Thomas_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,15,Jan-78,1978,92,36,0.416666667,Marvel
195265,Miles Warren (Clone),\/Miles_Warren_(Clone)_(Earth-616),Secret Identity,Bad Characters,Yellow Eyes,No Hair,Male Characters,,Deceased Characters,14,Dec-78,1978,92,36,0.388888889,Marvel
1347,Harris Moore,\/Harris_Moore_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,,Deceased Characters,14,Sep-78,1978,92,36,0.388888889,Marvel
1845,Antoine Delsoin,\/Antoine_Delsoin_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,13,Nov-78,1978,92,36,0.361111111,Marvel
19537,White Dragon (Chinatown),\/White_Dragon_(Chinatown)_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,,Male Characters,,Deceased Characters,13,Sep-78,1978,92,36,0.361111111,Marvel
2659,David Mitchell,\/David_Mitchell_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,13,Apr-78,1978,92,36,0.361111111,Marvel
1725,Gwendolyne Sabuki,\/Gwendolyne_Sabuki_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Deceased Characters,12,Mar-78,1978,92,36,0.333333333,Marvel
1062,Lyle Dekker,\/Lyle_Dekker_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,11,Feb-78,1978,92,36,0.305555556,Marvel
194051,Andrew Vinson (Earth-Two),\/wiki\/Andrew_Vinson_(Earth-Two),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,10,"1978, February",1978,60,36,0.277777778,DC
41894,Nereel,\/Nereel_(Earth-616),Secret Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,10,Oct-78,1978,92,36,0.277777778,Marvel
154266,Arthur Pemberton,\/wiki\/Arthur_Pemberton_(New_Earth),Public Identity,Bad Characters,,Grey Hair,Male Characters,,Living Characters,9,"1978, February",1978,60,36,0.25,DC
1587,Utgard-Loki,\/Utgard-Loki_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,9,Jun-78,1978,92,36,0.25,Marvel
18688,Virako,\/Virako_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,9,Sep-78,1978,92,36,0.25,Marvel
374196,Ashiya,\/wiki\/Ashiya_(New_Earth),Public Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,8,"1978, January",1978,60,36,0.222222222,DC
11889,Clay Stoner,\/wiki\/Clay_Stoner_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,8,"1978, September",1978,60,36,0.222222222,DC
34458,Abd-el-Hazred,\/Abd-el-Hazred_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,8,Aug-78,1978,92,36,0.222222222,Marvel
173608,Gladstone Hawkins,\/Gladstone_Hawkins_(Earth-616),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,8,Dec-78,1978,92,36,0.222222222,Marvel
90604,Peter Spaulding,\/Peter_Spaulding_(Earth-616),Public Identity,Good Characters,,Blond Hair,Male Characters,,Deceased Characters,8,Apr-78,1978,92,36,0.222222222,Marvel
130697,Xum,\/wiki\/Xum_(New_Earth),Secret Identity,Neutral Characters,,,Male Characters,,Living Characters,7,"1978, September",1978,60,36,0.194444444,DC
50610,Chao Sima,\/Chao_Sima_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,7,Feb-78,1978,92,36,0.194444444,Marvel
39754,Water Witch,\/Water_Witch_(Earth-616),Secret Identity,Bad Characters,,Grey Hair,Female Characters,,Living Characters,6,Dec-78,1978,92,36,0.166666667,Marvel
15393,Buck Richlen,\/Buck_Richlen_(Earth-616),Public Identity,Bad Characters,,Blond Hair,Male Characters,,Living Characters,6,Dec-78,1978,92,36,0.166666667,Marvel
1923,Frederick Kiber,\/Frederick_Kiber_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,,Deceased Characters,6,Sep-78,1978,92,36,0.166666667,Marvel
329881,Zacharaiah Seavey,\/Zacharaiah_Seavey_(Earth-616),Secret Identity,Bad Characters,Variable Eyes,No Hair,Male Characters,,Living Characters,6,Jan-78,1978,92,36,0.166666667,Marvel
242226,Joey Burnett,\/Joey_Burnett_(Earth-616),Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,6,Jul-78,1978,92,36,0.166666667,Marvel
27519,Amos Jardine,\/Amos_Jardine_(Earth-616),Public Identity,Neutral Characters,Black Eyes,White Hair,Male Characters,,Living Characters,6,Apr-78,1978,92,36,0.166666667,Marvel
334419,Leona Pierce,\/wiki\/Leona_Pierce_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,5,"1978, January",1978,60,36,0.138888889,DC
6752,Antithesis,\/wiki\/Antithesis_(New_Earth),Secret Identity,Bad Characters,Red Eyes,,Male Characters,,Living Characters,5,"1978, February",1978,60,36,0.138888889,DC
43145,Vera Gemini,\/Vera_Gemini_(Earth-616),Secret Identity,Bad Characters,Red Eyes,No Hair,Female Characters,,Living Characters,5,Apr-78,1978,92,36,0.138888889,Marvel
239156,Agent of Fortune,\/Agent_of_Fortune_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,5,Apr-78,1978,92,36,0.138888889,Marvel
86367,Triax (Monster),\/Triax_(Monster)_(Earth-616),Secret Identity,Bad Characters,,No Hair,Male Characters,,Deceased Characters,5,Jul-78,1978,92,36,0.138888889,Marvel
265058,Janice Jordan,\/wiki\/Janice_Jordan_(New_Earth),Public Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,4,"1978, October",1978,60,36,0.111111111,DC
3009,Edward Earhart,\/wiki\/Edward_Earhart_(New_Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,4,"1978, March",1978,60,36,0.111111111,DC
218696,Alexi Kronsky,\/wiki\/Alexi_Kronsky_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,4,"1978, December",1978,60,36,0.111111111,DC
15279,Phillip Garcia,\/Phillip_Garcia_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,4,Aug-78,1978,92,36,0.111111111,Marvel
95534,Kogar,\/Kogar_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,4,Jul-78,1978,92,36,0.111111111,Marvel
18839,Joshua Itobo,\/Joshua_Itobo_(Earth-616),Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,4,Jan-78,1978,92,36,0.111111111,Marvel
24653,Con Ticci Viracocha,\/Con_Ticci_Viracocha_(Earth-616),Secret Identity,Good Characters,,,Male Characters,,Living Characters,4,Sep-78,1978,92,36,0.111111111,Marvel
39603,Tabur,\/Tabur_(Earth-616),Secret Identity,Good Characters,,,Male Characters,,Living Characters,4,Jun-78,1978,92,36,0.111111111,Marvel
43768,Miles Brickman,\/Miles_Brickman_(Earth-616),Public Identity,Neutral Characters,,Black Hair,Male Characters,,Living Characters,4,Oct-78,1978,92,36,0.111111111,Marvel
286305,Arabella Jones,\/Arabella_Jones_(Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,3,Mar-78,1978,92,36,0.083333333,Marvel
539924,Arcturus (Rigellian),\/Arcturus_(Rigellian)_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Living Characters,3,May-78,1978,92,36,0.083333333,Marvel
688715,Gasshga,\/Gasshga_(Earth-616),Public Identity,Bad Characters,,Blue Hair,Male Characters,,Living Characters,3,Feb-78,1978,92,36,0.083333333,Marvel
240547,James Wyatt,\/James_Wyatt_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Living Characters,3,Jun-78,1978,92,36,0.083333333,Marvel
15391,Val Adair,\/Val_Adair_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,3,Dec-78,1978,92,36,0.083333333,Marvel
14078,Arthur Reynolds,\/Arthur_Reynolds_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,3,Apr-78,1978,92,36,0.083333333,Marvel
177536,Boulder (Outcasts),\/Boulder_(Outcasts)_(Earth-616),Secret Identity,Bad Characters,,Bald,Male Characters,,Living Characters,3,Dec-78,1978,92,36,0.083333333,Marvel
708717,Franz Schneider,\/Franz_Schneider_(Earth-616),Public Identity,Neutral Characters,,White Hair,Male Characters,,Living Characters,3,Feb-78,1978,92,36,0.083333333,Marvel
735008,Khadar,\/Khadar_(Earth-616),Public Identity,Neutral Characters,,No Hair,Male Characters,,Living Characters,3,Oct-78,1978,92,36,0.083333333,Marvel
262569,Alianna Hubbard,\/wiki\/Alianna_Hubbard_(New_Earth),Secret Identity,Bad Characters,,Brown Hair,Female Characters,,Living Characters,2,"1978, June",1978,60,36,0.055555556,DC
259928,Cossack,\/wiki\/Cossack_(New_Earth),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,2,"1978, January",1978,60,36,0.055555556,DC
265059,Jason Jordan,\/wiki\/Jason_Jordan_(New_Earth),Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,2,"1978, October",1978,60,36,0.055555556,DC
491227,Yada,\/Yada_(Earth-616),Public Identity,Good Characters,,White Hair,Female Characters,,Living Characters,2,Oct-78,1978,92,36,0.055555556,Marvel
542021,Observer YJ-18,\/Observer_YJ-18_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Living Characters,2,Jun-78,1978,92,36,0.055555556,Marvel
5490,Franz Gerhardt,\/Franz_Gerhardt_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,2,Jun-78,1978,92,36,0.055555556,Marvel
87213,Manipulator (Robot),\/Manipulator_(Robot)_(Earth-616),Secret Identity,Bad Characters,White Eyes,No Hair,Male Characters,,Living Characters,2,Dec-78,1978,92,36,0.055555556,Marvel
542044,Hogg,\/Hogg_(Earth-616),Public Identity,Good Characters,,,Male Characters,,Living Characters,2,Jul-78,1978,92,36,0.055555556,Marvel
660265,Carl Braden,\/Carl_Braden_(Earth-616),Public Identity,Neutral Characters,,Brown Hair,Male Characters,,Living Characters,2,Feb-78,1978,92,36,0.055555556,Marvel
735010,Haemon,\/Haemon_(Earth-616),Public Identity,Neutral Characters,Red Eyes,No Hair,Male Characters,,Living Characters,2,Oct-78,1978,92,36,0.055555556,Marvel
127959,Sophia Santos,\/wiki\/Sophia_Santos_(New_Earth),Public Identity,Bad Characters,,Brown Hair,Female Characters,,Living Characters,1,"1978, November",1978,60,36,0.027777778,DC
66307,Charlotte West,\/wiki\/Charlotte_West_(New_Earth),Public Identity,Good Characters,,Brown Hair,Female Characters,,Living Characters,1,"1978, February",1978,60,36,0.027777778,DC
334406,Alvin Pierce,\/wiki\/Alvin_Pierce_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,1,"1978, January",1978,60,36,0.027777778,DC
281674,Michael Wheeler,\/wiki\/Michael_Wheeler_(New_Earth),Public Identity,Good Characters,,Brown Hair,Male Characters,,Deceased Characters,1,"1978, September",1978,60,36,0.027777778,DC
560633,Sombra,\/Sombra_(Earth-616),Secret Identity,Bad Characters,,Brown Hair,Female Characters,,Living Characters,1,Mar-78,1978,92,36,0.027777778,Marvel
176603,Helen (Police Officer),\/Helen_(Police_Officer)_(Earth-616),Public Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,1,Jul-78,1978,92,36,0.027777778,Marvel
18543,Zuni,\/Zuni_(Earth-616),Public Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,1,Mar-78,1978,92,36,0.027777778,Marvel
71247,Arthur Thornhill,\/Arthur_Thornhill_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Living Characters,1,Mar-78,1978,92,36,0.027777778,Marvel
542011,Observer XJ-17,\/Observer_XJ-17_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Living Characters,1,May-78,1978,92,36,0.027777778,Marvel
176605,Frank (Police Officer),\/Frank_(Police_Officer)_(Earth-616),Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,1,Jul-78,1978,92,36,0.027777778,Marvel
683580,Glenn Reeper,\/Glenn_Reeper_(Earth-616),Public Identity,Good Characters,,,Male Characters,,Living Characters,1,Mar-78,1978,92,36,0.027777778,Marvel
504437,Hijiri Sabuki,\/Hijiri_Sabuki_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,1,Mar-78,1978,92,36,0.027777778,Marvel
18800,Ishanta,\/Ishanta_(Earth-616),Public Identity,Good Characters,,Bald,Male Characters,,Living Characters,1,Mar-78,1978,92,36,0.027777778,Marvel
389749,Ken Astor,\/Ken_Astor_(Earth-616),Secret Identity,Good Characters,,Brown Hair,Male Characters,,Deceased Characters,1,Aug-78,1978,92,36,0.027777778,Marvel
558356,Sir Hogg,\/Sir_Hogg_(Earth-616),Secret Identity,Good Characters,,,Male Characters,,Living Characters,1,Jun-78,1978,92,36,0.027777778,Marvel
281299,Malik (Human Fly Foe),\/Malik_(Human_Fly_Foe)_(Earth-616),Public Identity,Neutral Characters,,,Male Characters,,Living Characters,1,Jan-78,1978,92,36,0.027777778,Marvel
286348,Beta-Beast,\/Beta-Beast_(Earth-616),Secret Identity,Neutral Characters,,,Male Characters,,Deceased Characters,1,Jul-78,1978,92,36,0.027777778,Marvel
6194,James Rhodes,\/James_Rhodes_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,525,Jan-79,1979,121,35,15,Marvel
1180,Felicia Hardy,\/Felicia_Hardy_(Earth-616),Public Identity,Bad Characters,,Blond Hair,Female Characters,,Living Characters,332,Jul-79,1979,121,35,9.485714286,Marvel
2238,Jean-Paul Beaubier,\/Jean-Paul_Beaubier_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Homosexual Characters,Living Characters,313,Apr-79,1979,121,35,8.942857143,Marvel
